id,article_id,comment,commented_by,posted_datetime
c51784,a000808,"During tax season, put anthrax inside blank tax forms sent to state tax agencies and the IRS. When tax people are afraid to handle mail and banks balk at processing checks, revenue flow stalls.",roy,2006-04-01 16:22:00
c51785,a000808,"I think Dan Brown should win this for ""Digital Fortress"". Best laugh I've had for ages... ",Titus Adux,2006-04-01 16:23:00
c51707,a000808,"Er, I think I'll post my movie-plot threat tomorrow, after I'm sure this isn't an April Fool's joke. :)",Homeland Stupidity,2006-04-01 10:04:00
c51708,a000808,"Come on, nobody can beat http://www.imdb.com/title/tt0417148/ (and yes, it's a real movie and it's not a comedy)",TNT,2006-04-01 10:09:00
c51711,a000808,"Nobody can beat that decade-old plot: Set your 20-30 terrorists loose with plastic syringes filled with salmonellea - infecting the salad bars at restaurants all over the US. The resulting epidemic won't kill that many people - but think about a few million people all flushing their toilet at the same time due to diarrhea... the amount of water shifted will cause untold damage to the sewers, and send seismic shockwaves that will topple the statue of liberty ;-)",Juergen Nieveler,2006-04-01 10:28:00
c51720,a000808,"The Premise: soviet era physicist are going missing and so is nuclear material. Naturally it must be those pesky A-rabs! The Gaff: Captain Nemo's Grandson is ready to wreak horrible vengeance on the surface world. He's acquired enough weapons grade material to create a series of nuclear weapons which he will link in a circular chain beneath the arctic ice.
The detonation of which would cause massive flooding and environmental damage of an unprecedented scale.  Naturally, Nemo and his handpicked society of geniuses would be safely ensconced in their undersea society beneath the Bermuda Triangle. Who can stop this Madness! (Get Cameron to direct, he's got the experience.) ",Pete Sears,2006-04-01 11:13:00
c51721,a000808,"Movie plot 1: Terrorists wait for an unusually dry season, then set as many brush and forest fires as they can, not only causing the deaths of many people in the parks, but over the following years claiming 100 times as many lives in additional respiratiory complications. Movie plot 2: Terrorists develop a tiny RF device that will  disable computer avionics systems on commercial aircraft.  Easily concealed, they plant them in over 100 planes during normal flights, as well as in fedex ""next daiy air"" packages to an additional 100 destinations.  They activate all the devices and bring down these 200 planes, many of them as they pass over major population centers. Movie plot 3: Terrorists use unsolicited bulk e-mail (""spam"") which contain messages urging the recipient to kill everyone around them.  While most people will realize the email is not genuine, a small fraction will simply take the message at face value, and go on shooting rampages. Move plot 4: Terrorists train as engineers, and get jobs in the automobile industry designing the braking hardware and software systems of all major world automakers.  They include a date-based ""logic bomb"" which will deactivate the brakes in all post-2003 cars and small trucks at 1AM local time, Janary 1, 2007 when everyone's driving drunk already.",jepler,2006-04-01 11:16:00
c51724,a000808,Terrorists hire on a Liquid Propane Tanker as crewmen.  Hijack vessel as it nears the offshore offloading station. Sail tanker into major port and detonate the LPG onboard. Causes massive damage provided they can get near port facilities like refineries and such.  Since just attacking a refinery in Saudi Arabia caused the price of gas to go up. Such an attack should also cause panic  on the commodities market even if unsuccessful.,John Moore,2006-04-01 11:29:00
c51725,a000808,Terrorists use MySpace and other websites to get in touch with misguided teens. They help supply them with weapons and supplies and organize dozens of school shootings simultaniously.,astronut,2006-04-01 11:33:00
c58739,a000808,"Cascaded attacks - take any of the single actor attacks above and cascade them - 1st one attack.  Next two attacks, then four, then eight.   Between each attack leave enough time for the authorities/pundits to think it's stopped then do it again.   Repeat the cycle until all your actors are dead/ captured.   With attacks like the sniper scenarios or Starbucks poisoning this could go on for months or even years.",Trapper,2006-05-17 17:52:00
c51727,a000808,"Hi Bruce! I actually have a plot in this vein.  The story is 'high concept':  One of Nikola Tesla's inventions was this ""weapon to end war"", early in the 20th century.  The stuff that in real life the FBI confiscated upon his death.  In my plot, some bad guys manage to obtain the plans, build the weapon, and plan to do Very Bad Things with it. This applies to this posting because in my story, like in real life, the bad guys use innocuous technology to build something very dangerous and lethal.  In real life, there is tremendous oversight of exotic things like nuclear materials...  some guys building a weapon with 100-year-old tech aren't going to raise any eyebrows.  A similar thing could happen where the bad guys use bio weapons, or off-the-shelf industrial equipment to build lethal devices.  Cyberwarfare has a relatively low cost of entry, etc. So... here's my plot description: The deadliest weapon ever was invented over a century ago by a genius equal to Einstein.  It's more powerful than a nuclear blast and more lethal than all biochemical weapons... so dangerous that the U.S. government seized its plans and buried them in a vault in 1943. Until now. The most sinister organization in history has stolen the plans to rebuild it. The Rebirth Alliance will use the weapon to defeat the free world. Francis Montagnet, a former undercover agent, and doctor Varenka Ulyanova, race to stop the Rebirth Alliance across two continents before this destructive device becomes operational. Will the daring Francis Montagnet and the brilliant doctor Varenka stop the Rebirth Alliance from firing the weapon and annihilating millions of people?
--
At your local bookstore on 10.Oct.2006 - Thanks and cheers!   Eugene ",Eugene Ciurana,2006-04-01 11:35:00
c51728,a000808,"Terrorists discover the musical note that will make all listeners release their bowels. Taking over the production of American Idol by use of sleeper agents planted in Hollywood to lend it a liberal bias and make people sympathic to [Nazi|Soviet|Islamofascist] (delete as appropriate). Through this, they engineer that the final edition finishing song incorporates the note, thereby sending the entire American populace rushing to their toilets and flushing at the same time. This depletes the resevoirs to such an extent that millions suffer from dehydration and its' associated illnesses. In the ensuing madness, the Terrorists take over the white house. The only people who can save America are the hippie tree huggers in Oregon who don't own televisions and have routed rainwater collectors to their toilet cisterns. But! Will they have the moral fortitude to stand up for their country and defend it when the SUV owning consumerist Americans they hate need them so badly?",Mr. Diarhetic,2006-04-01 11:37:00
c51729,a000808,http://www.clevermonkey.org/blog/index.html?wl_mode=more&wl_eid=291,clvrmnky,2006-04-01 11:40:00
c51731,a000808,"Actually, further to my previous post (diarrhea brought about by American Idol: not too unlikely now I think about it), to prevent it the gubmint would need to crush all indy music channels and only allow music provided by government approved entities, so that the dreaded note doesn't get heard. It's for your own safety, people. So, here's the latest from Britney Aguilera, folks, it's government approved!",Mr. Diarhetic,2006-04-01 11:41:00
c51734,a000808,"Exploding nuns: A bunch of adults (clean-shaven males wearing makeup, or females)  dress up as nuns to hide their super-sized suicide vests. Without credentials and without being searched, they can walk into any school, parochial or public, or any religious building, or any other public place, and move to the center of a crowd to detonate. After the initial shock, the public will be terrified of nuns. Exploding clowns: See 'Exploding nuns' SWAT Surprise: A team of men decked out in SWAT gear, heavily armed, have a truck painted appropriately but carrying a truck bomb. The team can penetrate anything anywhere without credentials or searches, machine-gunning people trying to escape the carnage of the truck bomb. A couple dozen of these striking across the nation will make the public fear SWAT, and be wary of any police. Bomb Scare with a Twist: At the target building, preferably holding thousands of people, a dummy bomb is planted and a bomb threat called in. The object is to see where the evacuated people concentrate. The actual attack starts days later with a bomb threat, followed by an exploding squib, forcing evacuation out to the concentration areas, where, subsequently, half the car bombs are detonated. When emergency services arrive, the other half of the car bombs are detonated. The Trouble with Air Freight: The terrorists ship to themselves by air freight innocuous packages that will log altitude against time, teaching them the day of week and time of day at each shipping point to get the package in the air for a preset weekday and time. Then, for Trouble Day, they ship hundreds of bombs by air freight, timed to go off about the same time. Most will be in the air when they go, taking out hundreds of airliners and air freighters. Gasoline Glut: A gasoline tanker holds about 25 tons of fuel. No one would pay much attention to and extra 100 such trucks moving onto Manhattan Island one morning. At the preset time, the drivers would stop their trucks, start pumping fuel onto the streets and into sewers, set off igniters, and run. FDNY would be overwhelmed by 100 such fires, so most fires would burn freely, causing building fires, which in turn would cause collapses, adding fuel to the fires, and within days Manhattan would burn to the ground. Ubiquitous Forties: Forty-foot shipping containers abound in New York City and few are ever inspected. A hundred of these could each hold 20 tons of explosives and a timer. On Detonation Day, at about the same time, they all detonate. The neighboring buildings will come apart and catch fire. FDNY will be overwhelmed, and most fires will spread unchecked, collapsing more buildings, exposing more fuel, and over days Manhattan will burn to the ground. Burning Los Angeles: Unless there's rain in the forecast, any day will be a good day for brushfires. Early in the morning on D-Day, start a hundred brush fires, helped by morning breezes, which will pull most firefighting resources away from the heavily populated areas. Midday, start hundreds of fires in the populated areas, too many for the firefighters to get to. Evening breezes will help spread these. Evacuees will jam the freeways, further impeding everything.",roy,2006-04-01 11:58:00
c51736,a000808,I can't think of anything scarier than... snakes on a plane!,casey,2006-04-01 12:08:00
c51737,a000808,"In a time of peace, no one expects the unexpected.  A nation's children at risk from the ones they trust the most.  Tiny cartons of doom await them in our finest institutions.  The enemy knows no bounds, unburdened by the (hair)nets the government tries to throw around them. Coming this summer: The Lunchlady. Beware the tots.",dml,2006-04-01 12:15:00
