id,url,title,article,tags,posted_by,added_time
126953296,https://science.slashdot.org/story/20/03/08/1939229/bill-melinda-gates-foundation-promises-home-testing-kits-for-coronavirus,Bill & Melinda Gates Foundation Promises Home-Testing Kits for Coronavirus,"An anonymous reader quotes the Seattle Times: Testing for the novel coronavirus in the Seattle area will get a huge boost in the coming weeks as a project funded by Bill Gates and his foundation begins offering home-testing kits that will allow people who fear they may be infected to swab their noses and send the samples back for analysis. Results, which should be available in one to two days, will be shared with local health officials who will notify those who test positive. Via online forms, infected people can answer questions about their movements and contacts, making it easier for health officials to locate others who may need to be tested or quarantined, as well as to track the virus' spread and identify possible hot spots. Initially, the lab will be able to conduct about 400 tests a day, eventually expanding to thousands of tests a day, said Scott Dowell, leader of coronavirus response at the Bill & Melinda Gates Foundation. The project is ramping up as quickly as possible, but it's not clear exactly when it will launch, he added. Among other things, software needs to be upgraded to handle the expected crush of requests, and a detailed questionnaire finalized for people who request tests. ""Although there's a lot to be worked out, this has enormous potential to turn the tide of the epidemic,"" Dowell said. The article points out that the kits ""will reduce the need for sick people to visit a doctor's office or clinic, lowering the chance of exposing others."" The foundation has already committed up to $100 million to the global response to COVID-19, including up to $20 million to accelerate international efforts to control the spread, up to $20 million to help partners in sub-Saharan Africa and South Asia strengthen their response, and up to $60 million to kick-start the development of vaccines and treatments.","medicine, dna, promises",EditorDavid,2020-03-08 15:46:00
126925166,https://yro.slashdot.org/story/20/03/08/047236/after-coronavirus-airlines-are-flying-empty-ghost-flights-in-europe,"After Coronavirus, Airlines are Flying Empty 'Ghost' Flights in Europe","An anonymous reader quotes Business Insider: Airlines have wasted thousands of gallons of fuel running empty ""ghost"" flights during the coronavirus outbreak because of European rules saying operators can lose their flight slots if they keep their planes on the ground. Demand for flights has collapsed across the globe amid growing fears about the outbreak. Under Europe's rules, airlines operating out of the continent must continue to run 80% of their allocated slots or risk losing them to a competitor. This has led to some operators flying empty planes into and out of European countries at huge costs, The Times of London reported.","eu, government, transportation",EditorDavid,2020-03-08 08:34:00
126904208,https://science.slashdot.org/story/20/03/07/1733254/after-seti-foldinghome-takes-up-the-fight-against-covid-19,"After SETI, 'Folding@Home' Takes Up the Fight Against COVID-19","Though SETI@Home has shut down, ""users with a fondness for distributed computing might take a look at Folding@home, which is trying to figure out the structures of proteins on the surface of the SARS-CoV-2 coronavirus,"" writes Ars Technica. The coronavirus uses these proteins to latch on to proteins on the surface of human cells, a key step in its ability to infect them. Understanding the structure of this protein is a key to understanding the virus' vulnerabilities. While it won't help in the production of a general vaccine, it can be extremely useful in developing therapies. Once we know where this protein interacts with its receptor on human cells, we can start searching for small molecules that could bind in this same location, potentially blocking this interaction. Alternatively, we can potentially generate antibodies that bind to this site on the virus' protein. Either of these options can help people who are already infected, as they can limit the virus' ability to spread to new cells. Or, as their web site explains it, ""The data you help us generate will be quickly and openly disseminated as part of an open science collaboration of multiple laboratories around the world, giving researchers new tools that may unlock new opportunities for developing lifesaving drugs.""","science, medicine, covid19",EditorDavid,2020-03-07 16:34:00
126854002,https://science.slashdot.org/story/20/03/06/2257251/y-combinator-silicon-valleys-premiere-startup-factory-moves-its-pitch-event-online-citing-coronavirus-concern,"Y Combinator, Silicon Valley's Premiere Startup Factory, Moves Its Pitch Event Online Citing Coronavirus Concern","Startup accelerator Y Combinator announced today that it has moved its demo day online, citing a ""growing concern over COVID-19,"" or coronavirus. From a report: The demo day has historically drawn crowds of Silicon Valley elite, journalists and both national and international venture capitalists to watch more than 100 startups come out to the world. ""While we won't be able to recreate every aspect of Demo Day, we'll try our best to create an amazing experience for our founders and investors,"" Y Combinator said in a blog post. Y Combinator's 30th annual demo day will be pre-recorded and released to investors on Monday March 23, per the post. Thanks to a mix of history and glamour, demo day is the culminating day of a YC startup's accelerator experience. It's a big audience full of check writers and fast typers, and at the least, they'll get a tweet or a couple of sign-ups. The move to remote, in some way, dims that excitement.","news, usa, medicine",msmash,2020-03-06 21:10:00
126853268,https://science.slashdot.org/story/20/03/06/2241211/sxsw-canceled-due-to-coronavirus-after-austin-declares-local-disaster,SXSW Canceled Due To Coronavirus After Austin Declares 'Local Disaster',"South by Southwest, the annual tech, film and music conference held in Austin, Texas, has been canceled due to concerns surrounding the COVID-19 coronavirus outbreak. From a report: Local government officials announced the update at a press conference Friday afternoon discussing the status of the outbreak and events in the city. Austin's Mayor Steve Adler said he had declared a local disaster in the city and issued an order canceling the conference. In a statement on its website, SXSW said it would ""faithfully follow the City's directions."" ""We are devastated to share this news with you,"" organizers wrote in a statement on the SXSW website. The show must go on is in our DNA, and this is the first time in 34 years that the March event will not take place. We are now working through the ramifications of this unprecedented situation."" Austin officials said there are no confirmed cases of COVID-19 in Travis County, where Austin is located. But confirmed cases around the world passed 100,000 Friday.","news, usa, austin",msmash,2020-03-06 18:41:00
126844492,https://slashdot.org/story/20/03/06/1926217/ebay-bans-sales-of-face-masks-hand-sanitizer-amid-coronavirus-price-gouging,"eBay Bans Sales of Face Masks, Hand Sanitizer Amid Coronavirus Price Gouging","As the COVID-19 outbreak continues to spread in the US and other countries, demand for products like face masks and hand sanitizer has led to a spike in prices. To combat price gouging, online retailer eBay is banning some listings related to the coronavirus. From a report: In a notice to eBay sellers posted Thursday and spotted earlier by CNBC, eBay said it would block new listings and remove existing listings in the US for disinfecting wipes, hand sanitizer and face masks, including N95/N100 masks and surgical masks. The listings are being removed due to concerns that inflated prices for these products may violate US laws or regulations. eBay also said it will remove any listings, except for books, that mention COVID-19, coronavirus or 2019nCoV in the title or description. It's unclear how long the ban will last.","business, ebay, commerce",msmash,2020-03-06 15:50:00
126828958,https://science.slashdot.org/story/20/03/06/1334200/coronavirus-confirmed-cases-worldwide-climb-to-over-100000,"Coronavirus Confirmed Cases Worldwide Climb To Over 100,000","The number of coronavirus cases has reached 100,276, with 55,694 recovered and 3,404 deaths, according to the Johns Hopkins University Center for Systems Science and Engineering. From a report: The UK prime minister, Boris Johnson, said it looked like the UK would face substantial disruption due to the coronavirus. He said: ""It looks like there will a substantial period of disruption where we have to deal with this outbreak."" When asked what help would be given to businesses struggling due to the outbreak, Johnson said next week's budget presented ""a big opportunity"" for the country. He added: ""You will be seeing in the budget next week all sorts of ways in which we want to be using this moment, the UK coming out of the European Union. All the opportunities that we have -- but also dealing with this particular challenge, coronavirus, and set in the general low growth the world is seeing -- to make some fantastic investments in the long term.""","health, medicine, coronavirus",msmash,2020-03-06 10:00:00
126767608,https://tech.slashdot.org/story/20/03/05/1915246/irans-answer-to-the-coronavirus-outbreak-cut-the-internet,Iran's Answer To the Coronavirus Outbreak: Cut the Internet,"An anonymous reader quotes a report from Motherboard: Moments after Iran announced that a top adviser to Iran's Supreme Leader had died as a result of the coronavirus, the government blocked access to the Persian version of Wikipedia. The restrictions remained in place for 24 hours, though an oversight by the government meant that while the desktop version of the site was blocked, the mobile version remained available. Access to the Farsi version of Wikipedia was restored on Tuesday, but social media sites like Twitter and Facebook remain restricted inside the country as of Wednesday, as the government seeks to control the spread of information and keep a grip on the narrative around the increasingly deadly outbreak. Netblocks, a digital rights advocacy group that tracks internet disruptions around the world, said that there has also been widespread internet disruptions at night in certain parts of the country, including Qom, where the outbreak is believed to have originated. Tehran's police force created a ""coronavirus defense base"" to monitor ""misinformation and the spread of fear."" So far, the police have already arrested 24 people and a further 118 internet users were ""talked to and let go"" with warnings. The country also released 54,000 prisoners in an effort to halt the spread of the virus. ""The inmates were temporarily allowed out of jail after testing negative for the coronavirus and posting bail,"" reports Motherboard. ""The government is also deploying hundreds of thousands of health workers across the country to stop the deadly outbreak.""","internet, iran, outbreak",BeauHD,2020-03-05 18:10:00
126467944,https://tech.slashdot.org/story/20/03/02/2314229/nvidias-gpu-technology-conference-will-now-be-online-only-due-to-coronavirus-concerns,Nvidia's GPU Technology Conference Will Now Be Online Only Due To Coronavirus Concerns,"Nvidia has announced it has shifted its GPU Technology Conference (GTC) to be online-only due to concerns from the coronavirus outbreak. People who had registered for the event, which was originally set to be held in San Jose, California, from March 22nd to March 26th, will get a full refund. The Verge reports: ""This decision to move the event online instead of at the San Jose Convention Center reflects our top priority: the health and safety of our employees, our partners and our customers,"" the company said in a statement. Nvidia says company founder and CEO Jensen Huang will still deliver a keynote, and that it's working with speakers to begin publishing talks online. The online version of the event will still take place from March 22nd to March 26th. Other tech events cancelled due to the coronavirus include Mobile World Congress, Facebook's F8 developer conference, and the Game Developers Conference.","amd, graphics, health",BeauHD,2020-03-03 03:00:00
126775118,https://science.slashdot.org/story/20/03/05/2146216/coronavirus-reportedly-spreads-to-venice-california,"Coronavirus Reportedly Spreads To Venice, California","Twitter user Scott Bell is reporting that his uncle from Venice, California, has tested positive for the coronavirus. According to Bell, ""he was skiing in the Italian alps with 6 other guys,"" 4 of which, including his uncle, now have the coronavirus. One is reportedly in a coma and two others are sick. Bell says his uncle ""has not present any symptoms as of yet,"" but has chosen to self-quarantine himself. From the thread: A few days later they tested him and yesterday he found out he's positive. Meanwhile, they've told my aunt to wear a mask, stay 10 feet away from my uncle, and otherwise she is free to move about the community. And, she has -- to grocery stores, the hair salon, etc. [...] Believe me, I'm upset to hear that she did this. The crazier part is that they have not tested her, and will not, and again - advised her she is free to move at-will. This is how our health dept. is leading this effort. In an updated tweet, Bell says his aunt is now quarantined and the guy in the coma ""is starting to improve."" Update: Patch is confirming the report. Here's a screenshot of the thread: UPDATE: A nurse from a northern California Kaiser facility issued a statement criticizing the CDC for delays in testing, and reporting that she is ""currently sick and in quarantine after caring for a patient who tested positive.""","health, california, medicine",BeauHD,2020-03-05 17:50:00
